t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
86	503	503	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	51	51	60	60	54	54	61	61	43	43	57	57	38	38	31	31	54	54	
87	501	501	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	52	52	46	46	59	59	57	57	44	44	67	67	41	41	19	19	57	57	
88	460	460	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	35	35	50	50	37	37	62	62	45	45	47	47	42	42	31	31	48	48	
89	440	440	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	46	46	47	47	32	32	48	48	36	36	50	50	46	46	32	32	51	51	
90	468	468	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55	55	33	33	44	44	46	46	48	48	45	45	67	67	40	40	31	31	59	59	
91	518	518	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57	57	48	48	52	52	53	53	60	60	57	57	42	42	46	46	49	49	54	54	
92	481	481	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	45	45	66	66	24	24	48	48	50	50	46	46	50	50	36	36	53	53	
93	451	451	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	70	70	46	46	38	38	49	49	46	46	42	42	50	50	41	41	23	23	46	46	
94	502	502	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	67	67	40	40	49	49	61	61	57	57	47	47	35	35	56	56	31	31	59	59	
95	503	503	 600	9	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	69	69	41	41	46	46	54	54	51	51	52	52	58	58	43	43	41	41	48	48	
96	473	473	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	43	43	44	44	32	32	72	72	47	47	56	56	44	44	46	46	35	35	
97	494	494	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	41	41	42	42	46	46	86	86	38	38	55	55	49	49	35	35	51	51	
98	483	483	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	71	71	39	39	53	53	26	26	58	58	50	50	46	46	49	49	32	32	59	59	
99	486	486	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	72	72	46	46	50	50	40	40	66	66	41	41	49	49	43	43	43	43	36	36	
100	503	503	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	74	74	43	43	53	53	40	40	60	60	47	47	73	73	37	37	24	24	52	52	
101	440	440	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	46	46	44	44	51	51	47	47	51	51	39	39	59	59	25	25	25	25	53	53	
102	451	451	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	44	44	52	52	37	37	57	57	55	55	48	48	39	39	21	21	37	37	
103	473	473	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	76	76	40	40	65	65	42	42	49	49	31	31	48	48	49	49	34	34	39	39	
104	492	492	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	39	39	59	59	50	50	49	49	58	58	47	47	51	51	37	37	51	51	
105	425	425	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	41	41	52	52	47	47	45	45	32	32	48	48	49	49	26	26	34	34	
106	446	446	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	68	68	42	42	53	53	44	44	46	46	36	36	51	51	44	44	24	24	38	38	
107	531	531	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	54	54	30	30	61	61	71	71	59	59	56	56	57	57	41	41	41	41	
108	461	461	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55	55	20	20	44	44	51	51	53	53	64	64	41	41	47	47	39	39	47	47	
109	513	513	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	66	66	40	40	57	57	59	59	58	58	54	54	79	79	26	26	26	26	48	48	
110	474	474	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	72	72	34	34	42	42	44	44	48	48	56	56	49	49	34	34	44	44	51	51	
111	460	460	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	33	33	49	49	51	51	66	66	52	52	47	47	26	26	36	36	49	49	
112	431	431	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	39	39	41	41	42	42	45	45	44	44	30	30	62	62	59	59	36	36	33	33	
113	507	507	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	65	65	44	44	57	57	37	37	55	55	46	46	65	65	38	38	48	48	52	52	
114	452	452	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	35	35	44	44	45	45	54	54	44	44	72	72	47	47	25	25	45	45	
115	490	490	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49	49	60	60	55	55	35	35	71	71	47	47	54	54	48	48	30	30	41	41	
116	481	481	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	72	72	43	43	44	44	47	47	82	82	42	42	57	57	25	25	27	27	42	42	
117	455	455	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	28	28	44	44	43	43	68	68	48	48	59	59	23	23	32	32	47	47	
118	448	448	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	68	68	42	42	52	52	47	47	44	44	37	37	38	38	43	43	30	30	47	47	
119	446	446	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60	60	43	43	58	58	21	21	67	67	27	27	56	56	44	44	28	28	42	42	
120	465	465	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44	44	46	46	51	51	58	58	61	61	42	42	53	53	44	44	23	23	43	43	
121	504	504	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	48	48	48	48	58	58	60	60	39	39	60	60	47	47	47	47	47	47	
122	514	514	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	76	76	43	43	54	54	36	36	57	57	40	40	60	60	61	61	33	33	54	54	
123	502	502	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	50	50	48	48	42	42	68	68	48	48	52	52	56	56	37	37	38	38	
124	453	453	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55	55	52	52	33	33	49	49	54	54	42	42	52	52	30	30	32	32	54	54	
125	507	507	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	66	66	42	42	59	59	56	56	68	68	35	35	50	50	62	62	27	27	42	42	
126	485	485	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	57	57	40	40	60	60	71	71	56	56	40	40	36	36	22	22	51	51	
127	531	531	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	67	67	44	44	52	52	44	44	70	70	49	49	50	50	60	60	42	42	53	53	
128	514	514	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	62	62	56	56	50	50	39	39	72	72	45	45	44	44	36	36	47	47	63	63	
129	471	471	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49	49	48	48	32	32	49	49	56	56	40	40	74	74	43	43	38	38	42	42	
130	452	452	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	80	80	36	36	43	43	35	35	66	66	39	39	48	48	25	25	47	47	33	33	
131	501	501	 600	9	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55	55	48	48	49	49	58	58	60	60	44	44	69	69	44	44	26	26	48	48	
132	428	428	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57	57	31	31	45	45	50	50	57	57	41	41	63	63	29	29	20	20	35	35	
133	500	500	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	82	82	44	44	43	43	37	37	62	62	40	40	67	67	45	45	31	31	49	49	
134	436	436	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	48	48	46	46	38	38	67	67	33	33	51	51	30	30	25	25	47	47	
135	449	449	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	65	65	69	69	57	57	52	52	25	25	48	48	31	31	26	26	33	33	
